"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-211945","Phase I - Functionalization of compounds","18/349","106/11146",0.169811320754717,5.42325782559334,8.22643839311001,4.24013329306805e-09,3.02321503795752e-06,2.64227253631188e-06,"13/124/125/126/127/131/218/26/8639/1591/1553/1548/1549/1555/2328/4128/4129/5443",18
"R-HSA-5686938","Regulation of TLR by endogenous ligand","9/349","22/11146",0.409090909090909,13.065121125293,10.1838908464944,9.06194859146561e-09,3.23058467285749e-06,2.8235124032356e-06,"338/948/2243/2244/2266/3929/6279/6280/653509",9
"R-HSA-211859","Biological oxidations","25/349","222/11146",0.112612612612613,3.59650481426986,7.02547953229949,2.75807049708615e-08,6.55501421474142e-06,5.72904468166668e-06,"13/54988/124/125/126/127/131/218/26/8639/1591/1553/1548/1549/1555/2328/10249/2949/4128/4129/5443/6799/7365/10720/54490",25
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","17/349","125/11146",0.136,4.34342693409742,6.75830116890652,3.33130350733119e-07,5.93804850181784e-05,5.1898202008949e-05,"401138/336/338/80341/1114/91851/2243/2266/3484/3817/354/4312/10232/5179/29106/3053/7018",17
"R-HSA-390522","Striated Muscle Contraction","9/349","36/11146",0.25,7.98424068767908,7.54596206391073,1.16310631531024e-06,0.000143339052331218,0.000125277506429587,"58/89/1674/4604/4606/4607/4624/8557/7136",9
"R-HSA-112315","Transmission across Chemical Synapses","25/349","270/11146",0.0925925925925926,2.95712618062188,5.85284884731302,1.2062192342038e-06,0.000143339052331218,0.000125277506429587,"107/111/590/783/55584/1146/2556/2562/2567/55879/200959/8001/346562/94235/2890/4128/83988/8499/5567/53632/5923/60482/6616/6853/113457",25
"R-HSA-8957275","Post-translational protein phosphorylation","14/349","108/11146",0.12962962962963,4.13997665287064,5.89514241143053,6.52086505219801e-06,0.000584743623310333,0.000511062559975961,"401138/336/338/80341/1114/91851/2243/2266/3484/10232/5179/29106/3053/7018",14
"R-HSA-397014","Muscle contraction","20/349","205/11146",0.0975609756097561,3.11580124397233,5.49698420221898,6.56093826996167e-06,0.000584743623310333,0.000511062559975961,"58/89/477/491/783/1674/30819/3775/83795/3777/4604/4606/4607/4624/29895/4881/6323/8557/7136/10345",20
"R-HSA-8963899","Plasma lipoprotein remodeling","8/349","34/11146",0.235294117647059,7.51457947075678,6.83960352909603,7.58994022078456e-06,0.000594671900449666,0.000519739817031375,"27329/55908/336/338/63924/84699/338328/4023",8
"R-HSA-5602498","MyD88 deficiency (TLR2/4)","6/349","17/11146",0.352941176470588,11.2718692061352,7.61986135764286,8.34041936114538e-06,0.000594671900449666,0.000519739817031375,"948/2243/2244/2266/6279/6280",6
"R-HSA-5603041","IRAK4 deficiency (TLR2/4)","6/349","18/11146",0.333333333333333,10.6456542502388,7.36309805043635,1.21822794305111e-05,0.000789633203086765,0.000690134873001203,"948/2243/2244/2266/6279/6280",6
"R-HSA-112316","Neuronal System","30/349","410/11146",0.0731707317073171,2.33685093297924,4.95855185865888,1.34055386663229e-05,0.000796512422424021,0.000696147271093261,"107/111/590/783/55584/1146/2556/2562/2567/55879/200959/8001/346562/94235/2890/3775/83795/3777/347731/4128/83988/9378/8499/5567/53632/5923/60482/6616/6853/113457",30
"R-HSA-8963889","Assembly of active LPL and LIPC lipase complexes","6/349","19/11146",0.315789473684211,10.0853566581209,7.12575582428884,1.73378142924392e-05,0.000893517035522419,0.000780928744414664,"27329/55908/63924/84699/338328/4023",6
"R-HSA-375276","Peptide ligand-binding receptors","19/349","201/11146",0.0945273631840796,3.01891687693338,5.19289789569412,1.75445140214781e-05,0.000893517035522419,0.000780928744414664,"183/185/6364/6374/2852/2847/10316/283869/4922/4986/5020/5179/5443/84432/128674/6288/6753/6866/7200",19
"R-HSA-71384","Ethanol oxidation","5/349","12/11146",0.416666666666667,13.3070678127985,7.66868338153338,1.93226599580589e-05,0.000918470436673066,0.000802737873345324,"124/125/126/127/131",5
"R-HSA-6803157","Antimicrobial peptides","12/349","95/11146",0.126315789473684,4.03414266324838,5.33947072275085,3.87957899671907e-05,0.00172883739041293,0.00151099392503795,"51297/80341/1113/117159/400830/8993/57115/5266/6278/338324/6279/6280",12
"R-HSA-5365859","RA biosynthesis pathway","6/349","22/11146",0.272727272727273,8.71008075019536,6.50790157531389,4.40281899356842e-05,0.00184659408377311,0.00161391259702322,"124/126/127/10170/8608/5959",6
"R-HSA-163560","Triglyceride catabolism","6/349","24/11146",0.25,7.98424068767908,6.15792750909796,7.53209341699223e-05,0.00289916420762143,0.00253385282484961,"2167/2172/2173/3991/5346/5567",6
